FRUITS_VEGGIES,DAILY_STRESS,BMI_RANGE,TODO_COMPLETED,DAILY_STEPS,SLEEP_HOURS,GENDER
3,0,1,2,5,9,Male
5,0,1,10,8,8,Female
5,0,1,6,3,7,Male
5,0,1,10,9,9,Male
3,0,2,6,10,7,Female
5,0,1,7,9,8,Female
4,0,2,8,8,9,Female
4,0,1,3,10,8,Male
5,0,2,10,10,10,Female
2,0,2,7,10,6,Male
4,0,1,10,5,8,Female
1,0,1,7,10,7,Female
1,0,1,5,5,6,Male
2,0,2,10,5,9,Female
5,0,1,6,10,5,Female
1,0,2,5,2,10,Male
1,0,2,5,2,10,Male
0,0,1,9,10,10,Female
1,0,2,3,10,9,Male
1,0,2,8,10,8,Male
2,0,1,7,4,6,Male
3,0,1,10,5,6,Female
3,0,1,9,4,6,Male
3,0,1,8,4,7,Male
2,0,2,3,1,7,Male
2,0,2,0,2,7,Male
2,0,1,2,5,8,Male
2,0,2,3,2,8,Female
2,0,1,8,6,7,Male
4,0,1,9,5,8,Male
4,0,2,7,3,7,Male
2,0,1,8,7,8,Male
4,0,1,8,8,6,Female
1,0,1,4,3,7,Male
1,0,2,8,6,5,Female
3,0,1,8,5,6,Female
5,0,1,8,5,9,Male
5,0,1,6,4,7,Male
5,0,2,10,5,9,Female
3,0,1,4,4,7,Female
5,0,1,7,10,9,Male
3,0,1,10,8,9,Female
5,0,1,3,4,8,Male
1,0,1,7,4,8,Male
5,0,1,7,7,6,Male
3,0,2,7,2,6,Female
2,0,1,5,9,5,Female
4,0,2,3,7,7,Male
1,0,1,3,6,6,Female
4,0,2,8,6,7,Female
5,0,1,10,10,7,Male
2,0,2,4,2,8,Male
4,0,1,1,1,8,Male
3,0,2,7,3,8,Male
5,0,2,5,1,6,Male
5,0,1,7,2,7,Male
5,0,1,10,10,10,Female
0,0,1,0,1,1,Female
0,0,1,10,1,6,Female
0,0,1,0,1,10,Male
3,0,2,0,1,6,Female
2,0,1,3,8,6,Female
5,0,1,10,10,10,Male
4,0,2,3,2,8,Female
2,0,1,7,2,7,Female
3,0,1,10,5,6,Male
0,0,2,8,3,8,Female
2,0,1,2,3,6,Male
2,0,2,3,6,8,Male
3,0,1,10,5,7,Female
5,0,2,8,10,10,Female
5,0,1,10,10,10,Male
3,0,1,5,4,7,Male
5,0,1,9,10,7,Male
5,0,1,9,10,7,Male
2,0,1,6,10,8,Male
5,0,1,8,5,7,Female
4,0,1,7,10,7,Female
3,0,1,7,9,9,Female
1,0,2,2,2,6,Male
1,0,1,5,4,7,Male
0,0,2,10,4,8,Male
1,0,1,8,3,8,Female
5,0,1,8,10,8,Female
1,0,2,4,1,9,Male
5,0,1,8,10,8,Female
1,0,1,10,1,6,Female
5,0,1,7,6,7,Male
0,0,2,0,1,1,Male
5,0,1,3,10,6,Female
1,0,2,8,10,8,Male
1,0,2,8,10,8,Male
2,0,1,9,1,8,Female
5,0,1,6,9,9,Female
1,0,1,0,1,8,Female
3,0,1,6,10,9,Male
5,0,1,6,9,9,Female
0,0,1,7,2,7,Male
3,0,2,10,10,8,Male
5,0,2,10,6,9,Female
4,0,1,9,8,8,Male
0,0,2,5,1,4,Male
1,0,2,8,8,8,Female
5,0,1,5,6,8,Male
4,0,1,1,8,8,Male
5,0,1,6,8,9,Male
5,0,1,9,9,7,Male
5,0,1,10,10,7,Female
4,0,1,7,6,7,Male
3,0,2,1,5,10,Female
5,0,1,5,4,8,Male
1,0,1,6,5,8,Male
2,0,1,8,10,9,Male
5,0,1,7,10,9,Female
2,0,2,8,10,10,Female
3,0,1,5,5,8,Male
5,0,1,8,4,8,Female
2,0,1,3,1,8,Female
5,0,2,10,10,7,Male
5,0,2,10,10,10,Male
1,0,1,7,10,9,Male
5,0,2,8,2,8,Male
1,0,2,8,10,8,Male
2,0,1,0,4,8,Male
1,0,1,10,2,8,Male
3,0,2,9,10,8,Female
3,0,1,10,2,6,Male
1,0,1,5,10,8,Female
1,0,2,2,8,5,Male
3,0,1,8,8,8,Female
3,0,1,8,4,7,Female
5,0,1,10,10,4,Female
5,0,2,9,10,7,Male
5,0,1,10,10,7,Male
5,0,1,9,10,8,Female
5,0,1,6,8,8,Female
2,0,2,6,6,7,Female
2,0,1,2,4,10,Male
5,0,1,6,8,7,Female
3,0,1,4,6,8,Male
5,0,1,10,10,10,Male
4,0,2,8,3,7,Male
4,0,1,2,10,6,Male
1,0,2,8,2,8,Female
1,0,2,5,1,4,Female
2,0,1,5,3,4,Male
2,0,1,6,6,6,Male
5,0,1,8,5,7,Male
5,0,1,10,10,7,Male
5,0,2,10,10,10,Female
3,0,1,9,9,7,Male
4,0,1,2,8,7,Male
4,0,1,10,5,8,Female
2,0,2,8,10,8,Male
4,0,2,5,5,8,Female
0,0,1,5,1,8,Female
5,0,1,10,9,8,Female
3,0,1,10,4,9,Male
